2019.05.16,03:00,1332.620,1333.010,1329.100,1330.630,351
2019.05.16,04:00,1330.610,1331.510,1327.580,1329.330,503
2019.05.16,05:00,1328.840,1330.310,1324.380,1329.720,1216
2019.05.16,06:00,1329.730,1329.750,1324.650,1328.800,702
2019.05.16,07:00,1328.780,1329.100,1327.660,1327.770,288
2019.05.16,08:00,1327.910,1330.180,1326.190,1328.530,267
2019.05.16,09:00,1328.570,1329.010,1328.090,1328.480,266
2019.05.16,10:00,1329.390,1333.410,1329.390,1331.050,216
2019.05.16,11:00,1331.050,1341.490,1331.050,1339.210,284
2019.05.16,12:00,1339.210,1340.990,1330.600,1330.710,425
2019.05.16,13:00,1330.710,1334.880,1329.840,1330.740,298
2019.05.16,14:00,1330.730,1338.800,1330.710,1334.630,311
2019.05.16,15:00,1334.630,1336.960,1330.600,1330.800,368
2019.05.16,16:00,1330.810,1332.310,1321.580,1328.620,700
2019.05.16,17:00,1328.620,1336.070,1326.380,1334.850,636
2019.05.16,18:00,1334.790,1338.390,1330.690,1337.430,1701
2019.05.16,19:00,1337.460,1338.170,1328.800,1330.120,1016
2019.05.16,20:00,1330.010,1331.450,1323.150,1327.490,1413
2019.05.16,21:00,1327.500,1329.720,1325.580,1328.580,671
2019.05.16,22:00,1328.690,1330.520,1324.980,1328.940,877
2019.05.16,23:00,1328.930,1329.090,1326.520,1328.470,419
2019.05.17,00:00,1327.720,1329.160,1326.710,1328.900,296
2019.05.17,02:00,1329.030,1331.550,1328.330,1329.760,196
2019.05.17,03:00,1329.750,1333.090,1329.530,1333.030,126
2019.05.17,04:00,1333.050,1333.070,1323.290,1327.110,709
2019.05.17,05:00,1327.100,1328.150,1326.360,1327.570,562
2019.05.17,06:00,1327.770,1328.370,1327.360,1327.740,353
2019.05.17,07:00,1327.930,1327.930,1323.450,1327.480,247
2019.05.17,08:00,1327.510,1328.260,1326.960,1327.830,173
2019.05.17,09:00,1327.840,1328.330,1322.050,1322.820,296
2019.05.17,10:00,1322.720,1324.580,1321.620,1323.280,946
2019.05.17,11:00,1323.300,1323.440,1311.120,1316.850,858
2019.05.17,12:00,1316.930,1327.480,1315.050,1322.570,1166
2019.05.17,13:00,1322.770,1323.680,1318.290,1322.670,662
2019.05.17,14:00,1322.620,1323.070,1319.100,1322.710,626
2019.05.17,15:00,1322.700,1323.580,1319.270,1322.290,970
2019.05.17,16:00,1321.200,1330.170,1317.210,1319.690,1315
2019.05.17,17:00,1319.680,1322.980,1311.930,1313.910,1215
2019.05.17,18:00,1313.720,1319.530,1311.090,1315.750,1147
2019.05.17,19:00,1315.570,1316.840,1311.160,1315.140,747
2019.05.17,20:00,1315.130,1316.840,1307.350,1311.070,1082
2019.05.17,21:00,1310.980,1312.960,1309.470,1312.090,334
2019.05.17,22:00,1312.140,1312.810,1310.440,1312.590,439
2019.05.17,23:00,1312.690,1312.690,1311.130,1312.370,537
2019.05.18,00:00,1312.270,1312.370,1308.380,1310.050,315
2019.05.20,02:00,1310.530,1313.420,1309.410,1309.670,349
2019.05.20,03:00,1309.680,1310.950,1307.960,1310.790,302
2019.05.20,04:00,1310.780,1313.750,1309.900,1312.840,345
2019.05.20,05:00,1313.270,1319.660,1313.270,1316.200,916
2019.05.20,06:00,1316.210,1317.560,1315.690,1316.180,435
2019.05.20,07:00,1316.170,1316.170,1312.030,1314.250,271
2019.05.20,08:00,1314.260,1317.250,1314.070,1317.230,112
2019.05.20,09:00,1317.210,1317.210,1314.350,1316.880,206
2019.05.20,10:00,1316.890,1317.430,1313.420,1313.940,417
2019.05.20,11:00,1314.180,1315.490,1310.300,1314.950,562
2019.05.20,12:00,1315.150,1327.350,1312.430,1316.600,856
2019.05.20,13:00,1316.610,1320.970,1313.230,1320.860,455
2019.05.20,14:00,1321.150,1321.360,1316.260,1318.260,510
2019.05.20,15:00,1318.250,1319.140,1313.790,1315.750,490
2019.05.20,16:00,1314.910,1318.350,1311.340,1316.580,964
2019.05.20,17:00,1316.470,1322.360,1311.800,1321.800,786
2019.05.20,18:00,1321.820,1334.480,1316.120,1330.210,1345
2019.05.20,19:00,1330.070,1336.230,1326.140,1333.820,985
2019.05.20,20:00,1334.570,1336.600,1331.310,1333.900,951
2019.05.20,21:00,1333.550,1336.060,1333.050,1334.230,519
2019.05.20,22:00,1334.480,1334.480,1330.950,1332.010,440
2019.05.20,23:00,1332.000,1332.010,1330.380,1331.250,378
2019.05.21,00:00,1331.280,1331.280,1324.590,1324.590,164
2019.05.21,02:00,1328.510,1334.300,1328.510,1332.950,42
2019.05.21,03:00,1332.960,1332.960,1330.350,1332.860,129
2019.05.21,04:00,1332.680,1332.680,1330.350,1332.200,325
2019.05.21,05:00,1332.060,1333.970,1330.840,1331.280,354
2019.05.21,06:00,1331.270,1333.030,1330.270,1332.600,380
2019.05.21,07:00,1332.610,1334.770,1327.480,1334.650,275
2019.05.21,08:00,1334.660,1337.590,1334.540,1337.590,212
2019.05.21,09:00,1337.610,1338.700,1333.540,1335.640,276
2019.05.21,10:00,1335.430,1337.730,1330.300,1337.340,423
2019.05.21,11:00,1337.140,1337.900,1331.720,1334.100,377
2019.05.21,12:00,1334.090,1334.090,1323.800,1323.890,454
2019.05.21,13:00,1323.900,1333.040,1323.510,1330.760,286
2019.05.21,14:00,1330.770,1334.220,1329.310,1329.470,501
2019.05.21,15:00,1329.510,1329.760,1321.410,1324.430,596
2019.05.21,16:00,1324.550,1329.690,1320.280,1329.380,1135
2019.05.21,17:00,1329.390,1330.950,1322.700,1327.120,870
2019.05.21,18:00,1327.090,1329.500,1325.130,1326.950,1143
2019.05.21,19:00,1327.130,1327.130,1314.180,1316.340,1030
2019.05.21,20:00,1316.790,1319.670,1314.940,1316.390,1070
2019.05.21,21:00,1316.240,1317.410,1315.640,1316.790,299
2019.05.21,22:00,1316.900,1319.010,1316.620,1317.940,325
2019.05.21,23:00,1318.010,1318.360,1316.640,1316.970,398
2019.05.22,00:00,1316.220,1316.520,1312.760,1312.760,243
2019.05.22,02:00,1318.340,1323.550,1318.310,1321.680,220
2019.05.22,03:00,1321.690,1321.780,1320.380,1320.740,105
2019.05.22,04:00,1320.770,1321.800,1319.040,1319.160,377
2019.05.22,05:00,1319.180,1320.740,1318.030,1319.760,364
2019.05.22,06:00,1319.770,1325.100,1318.950,1325.080,327
2019.05.22,07:00,1325.050,1325.700,1324.130,1324.440,165
2019.05.22,08:00,1324.440,1324.440,1321.430,1321.660,109
2019.05.22,09:00,1321.680,1322.100,1321.060,1321.770,154
2019.05.22,10:00,1321.790,1322.020,1316.860,1317.770,603
2019.05.22,11:00,1317.760,1318.930,1309.910,1316.940,600
2019.05.22,12:00,1316.530,1321.000,1310.720,1313.130,650
2019.05.22,13:00,1313.140,1318.970,1304.770,1315.060,526
